arm,source_path,index,label_names,quality_status,warnings,einthoven_residual,avR_residual,hr_estimate_bpm,target_prob_max,semantic_top1,semantic_any_positive_ge_05,prob_CD,prob_HYP,prob_MI,prob_NORM,prob_STTC
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,0,NORM,warning,aVR = -(I+II)/2 violated (residual=0.368),0.1823232585340574,0.3684143504311485,125.91815320041974,0.9585766792297363,True,True,0.027149690315127373,0.023023976013064384,0.031419601291418076,0.9585766792297363,0.024784857407212257
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,1,NORM,warning,Einthoven II=I+III violated (residual=0.209)|aVR = -(I+II)/2 violated (residual=0.474),0.20924676951988044,0.4743370764070459,108.38709677419355,0.9474660754203796,True,True,0.016139214858412743,0.3774571418762207,0.0009008354390971363,0.9474660754203796,0.04571186378598213
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,2,NORM,warning,Einthoven II=I+III violated (residual=0.511)|aVR = -(I+II)/2 violated (residual=1.128),0.5105022114167013,1.1279454317642523,75.63025210084034,0.5339243412017822,False,True,0.03627191111445427,0.03494211286306381,0.7699652314186096,0.5339243412017822,0.03301805257797241
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,3,NORM,warning,Einthoven II=I+III violated (residual=0.257)|aVR = -(I+II)/2 violated (residual=0.653),0.2567553839783245,0.653411398986133,88.14270724029382,0.9866547584533691,True,True,0.010167569853365421,0.08673722296953201,0.0010440412443131208,0.9866547584533691,0.009145042859017849
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,4,NORM,warning,Einthoven II=I+III violated (residual=0.287)|aVR = -(I+II)/2 violated (residual=0.649),0.2872489995503947,0.6492262856290595,94.63722397476342,0.8394640684127808,True,True,0.052603404968976974,0.02459767833352089,0.37817907333374023,0.8394640684127808,0.02846505492925644
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,5,NORM,warning,Einthoven II=I+III violated (residual=0.322)|aVR = -(I+II)/2 violated (residual=0.745),0.32203101473807527,0.744652164636911,119.74789915966387,0.9377080798149109,True,True,0.014532498084008694,0.38275325298309326,0.006118841469287872,0.9377080798149109,0.09779980778694153
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,6,NORM,warning,Einthoven II=I+III violated (residual=0.256)|aVR = -(I+II)/2 violated (residual=0.682),0.2555902635408419,0.6823431071878185,141.09742441209406,0.9463366270065308,True,True,0.02813214622437954,0.21621260046958923,0.0008272135746665299,0.9463366270065308,0.0109540531411767
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,7,NORM,warning,Einthoven II=I+III violated (residual=0.278)|aVR = -(I+II)/2 violated (residual=0.703),0.2779827667680277,0.7025488094327154,94.53781512605042,0.9611838459968567,True,True,0.02464986778795719,0.1966801881790161,0.002667352557182312,0.9611838459968567,0.02596723847091198
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,8,NORM,warning,Einthoven II=I+III violated (residual=0.349)|aVR = -(I+II)/2 violated (residual=0.886),0.3490594474845998,0.8856177265201122,151.26050420168067,0.9012938737869263,True,True,0.14428070187568665,0.014618773944675922,0.010189452208578587,0.9012938737869263,0.010962440632283688
target_token_s05,/root/autodl-tmp/ecgtwin_prompt_token_super5/effectiveness_pilot_v42_task1gate_ningbo_token_scale_large_20260504/target_token_s05/ningbo/gated/gated_samples.npz,9,NORM,warning,Einthoven II=I+III violated (residual=0.228)|aVR = -(I+II)/2 violated (residual=0.641),0.2284482307691518,0.6413109165042353,88.23529411764706,0.9681992530822754,True,True,0.016612611711025238,0.08982391655445099,0.010682660154998302,0.9681992530822754,0.010136663913726807
